Ex-Div. Date,Amount,Type,Yield,Change,Decl. Date,Rec. Date,Pay. Date,Details,Market Cap,Cash on Hand,Net Income,Free Cash Flow,Equity
2/15/2023,$0.68,Quarter,1.10%,N/A,11/29/2022,2/16/2023,3/9/2023,Details,1.760T,"$107,262","$17,556","16,915.00",MSFT
11/16/2022,$0.68,Quarter,1.10%,+9.7%,9/20/2022,11/17/2022,12/8/2022,Details,1.930T,"$104,757","$16,740","65,149.00",MSFT
8/17/2022,$0.62,Quarter,0.90%,N/A,6/14/2022,8/18/2022,9/8/2022,Details,2.100T,"$104,693","$16,728","47,391.00",MSFT
5/18/2022,$0.62,Quarter,1%,N/A,3/15/2022,5/19/2022,6/9/2022,Details,2.261T,"$125,369","$18,765","27,345.00",MSFT
2/16/2022,$0.62,Quarter,0.80%,N/A,12/7/2021,2/17/2022,3/10/2022,Details,2.333T,"$130,615","$20,505","18,730.00",MSFT
11/17/2021,$0.62,Quarter,0.70%,+10.7%,9/14/2021,11/18/2021,12/9/2021,Details,2.172T,"$130,334","$16,458","56,118.00",MSFT
8/18/2021,$0.56,Quarter,0.80%,N/A,6/17/2021,8/19/2021,9/9/2021,Details,1.937T,"$125,407","$15,457","39,860.00",MSFT
5/19/2021,$0.56,Quarter,0.90%,N/A,3/16/2021,5/20/2021,6/10/2021,Details,1.697T,"$131,968","$15,463","22,770.00",MSFT
2/17/2021,$0.56,Quarter,0.90%,N/A,12/2/2020,2/18/2021,3/11/2021,Details,1.625T,"$137,977","$13,893","14,428.00",MSFT
11/18/2020,$0.56,Quarter,1.10%,+9.8%,9/15/2020,11/19/2020,12/10/2020,Details,1.543T,"$136,527","$11,202","45,234.00",MSFT
8/19/2020,$0.51,Quarter,1%,N/A,6/17/2020,8/20/2020,9/10/2020,Details,1.324T,"$137,626","$10,752","31,305.00",MSFT
5/20/2020,$0.51,Quarter,1.10%,N/A,3/9/2020,5/21/2020,6/11/2020,Details,1.255T,"$134,253","$11,649","17,568.00",MSFT
2/19/2020,$0.51,Quarter,0.90%,N/A,12/4/2021,2/20/2020,3/12/2020,Details,1.048T,"$136,636","$10,678","10,433.00",MSFT
11/20/2019,$0.51,Quarter,1.40%,+10.9%,9/18/2019,11/21/2019,12/12/2019,Details,1.077T,"$133,819","$13,187","38,260.00",MSFT
8/13/2019,$0.46,Quarter,1.30%,N/A,6/13/2019,8/14/2019,9/12/2019,Details,945.36B,"$131,618","$8,809","26,203.00",MSFT
5/15/2019,$0.46,Quarter,1.50%,N/A,3/12/2019,5/16/2019,6/13/2019,Details,822.23B,"$127,662","$8,420","15,248.00",MSFT
2/20/2019,$0.46,Quarter,1.70%,N/A,11/28/2018,2/21/2019,3/14/2019,Details,834.10B,"$135,880","$8,824","10,055.00",MSFT
